
DESKTOP-HKV0F46

"Nombre del ordenador:","DESKTOP-HKV0F46"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","Presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","Presente"
"Supervisor Mode Access Prevention (SMAP)","Presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","No presente"
"Read/Write FS/GS Base Instructions","Presente"
"Enhanced Performance String Instruction","No presente"
"INVPCID Instruction","No presente"
"RDSEED Instruction","Presente"
"Multi-precision Add Carry Instructions (ADX)","Presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","Presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","No presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","No presente"
"Intel Processor Trace","No presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"Bus Lock Debug Exceptions","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","No presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","No presente"
"Single Thread Indirect Branch Predictors (STIBP)","No presente"
"L1D_FLUSH Support","No presente"
"IA32_ARCH_CAPABILITIES MSR","No presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","No presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"WRMSRNS Instruction","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"LAHF/SAHF Long Mode Support","Presente"
"Core Multi-Processing Legacy Mode","Presente"
"Secure Virtual Machine","Presente"
"Extended APIC Register Space","Presente"
"LOCK MOV CR0 Support","Presente"
"Advanced Bit Manipulation","Presente"
"SSE4A Support","Presente"
"Misaligned SSE Mode","Presente"
"PREFETCH(W) Support","Presente"
"OS Visible Work-around Support","Presente"
"Instruction Based Sampling","No presente"
"XOP Instruction Support","No presente"
"SKINIT, STGI, and DEV Support","Presente"
"Watchdog Timer Support","Presente"
"TBM0 Instruction Support","No presente"
"Lightweight Profiling Support","No presente"
"FMA4 Instruction Support","No presente"
"Translation Cache Extension","Presente"
"NodeId Support","No presente"
"Trailing Bit Manipulation","No presente"
"Topology Extensions","Presente"
"Core Performance Counter Extensions","Presente"
"NB Performance Counter Extensions","Presente"
"Streaming Performance Monitor Architecture","No presente"
"Data Breakpoint Extension","Presente"
"Performance Time-Stamp Counter","No presente"
"L2I Performance Counter Extensions","Presente"
"MWAITX/MONITORX Support","Presente"
"Cifrado de memoria seguro","Presente"
"Virtualización cifrada segura","Presente"
"Core Performance Boost","Soportado, Activado"
"Tamaño máximo de dirección física:","48-bit (256 TBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-80000000 (0MB-2048MB) Type:","Write Back (WB)"
"Range 80000000-C0000000 (2048MB-3072MB) Type:","Write Back (WB)"
"Range C0000000-E0000000 (3072MB-3584MB) Type:","Write Back (WB)"

Tarjeta madre

"Nombre de la marca de la computadora:","LENOVO 11A5S4EB00"
"Modelo de placa base:","LENOVO 3151"
"Chipset de la placa base:","AMD Promontory/Bixby FCH"
"Ranuras para placa base:","4xPCI Express x1, 2xPCI Express x4, 1xPCI Express x8, 1xPCI Express x16"
"Versión de PCI Express admitida:","v3.0"
"Versión USB admitida:","v3.1"
"Fabricante de BIOS:","LENOVO"
"Fecha de BIOS:","06/18/2020"
"Versión de BIOS:","M2FKT21A"
"Versión AMD AGESA:","Combo-AM4 1.0.0.3"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","ITE IT8738"
"Chip del módulo de plataforma segura (TPM):","Present, version v2.0"

Dispositivos ACPI


Trusted Platform Module 2.0

"Nombre del dispositivo:","Trusted Platform Module 2.0"
"Ubicación de la memoria:","FED40000 - FED44FFF"
"Ubicación de la memoria:","FED40000 - FED44FFF"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"IRQ:","65792"
"I/O Port:","0020 - 0021"
"I/O Port:","00A0 - 00A1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"I/O Port:","0040 - 0043"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"IRQ:","0"
"Ubicación de la memoria:","FED00000"
"IRQ:","0"
"IRQ:","8"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0089 - 008B"
"DMA:","4"
"I/O Port:","0000 - 000F"
"I/O Port:","0081 - 0083"
"I/O Port:","0087"
"I/O Port:","0089 - 008B"
"I/O Port:","008F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

System speaker

"Nombre del dispositivo:","System speaker"
"I/O Port:","0061"
"I/O Port:","0061"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"I/O Port:","03B0 - 03DF"
"Ubicación de la memoria:","000A0000 - 0009FFFF"
"Ubicación de la memoria:","E0000000 - FEC02FFF"
"I/O Port:","0000 - 03AF"
"I/O Port:","03E0 - 0CF7"
"I/O Port:","03B0 - 03DF"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000C0000 - 000DFFFF"
"Ubicación de la memoria:","E0000000 - FEC02FFF"
"Ubicación de la memoria:","FEE00000 - FFFFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0071"
"I/O Port:","0070 - 0071"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0062"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A10 - 0A1F"
"I/O Port:","0A20 - 0A2F"
"I/O Port:","0A30 - 0A3F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0A50 - 0A5F"
"I/O Port:","0A60 - 0A6F"
"I/O Port:","0A70 - 0A7F"
"I/O Port:","0062"
"I/O Port:","0066 - 0164"
"I/O Port:","0068 - 0069"
"I/O Port:","006C - 006D"
"I/O Port:","006C - 006D"
"I/O Port:","0A88 - 0A97"
"I/O Port:","0A98 - 0AA7"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","9F000000 - 1EFFFFFF"
"IRQ:","65665"
"Ubicación de la memoria:","9F000000"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FEB80000 - FEBFFFFF"
"Ubicación de la memoria:","FEB80000 - FEBFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FD100000 - FD1FFFFF"
"Ubicación de la memoria:","FD100000 - FD1FFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0067 - 006F"
"I/O Port:","0088"
"I/O Port:","00B1"
"I/O Port:","04D6"
"I/O Port:","0C52"
"I/O Port:","0000 - 0C6E"
"I/O Port:","0CD2 - 0CD3"
"I/O Port:","0800 - 089F"
"Ubicación de la memoria:","00000000 - 0000008F"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00B1"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"
"I/O Port:","040B"
"I/O Port:","04D6"
"I/O Port:","0C00 - 0C01"
"I/O Port:","0C14"
"I/O Port:","0C50 - 0C51"
"I/O Port:","0C52"
"I/O Port:","0C6C"
"I/O Port:","0C6F"
"I/O Port:","0CD0 - 0CD1"
"I/O Port:","0CD2 - 0CD3"
"I/O Port:","0CD4 - 0CD5"
"I/O Port:","0CD6 - 0CD7"
"I/O Port:","0CD8 - 0CDF"
"I/O Port:","0800 - 089F"
"I/O Port:","0B00 - 0B0F"
"I/O Port:","0B20 - 0B3F"
"I/O Port:","0900 - 090F"
"I/O Port:","0910 - 091F"
"Ubicación de la memoria:","FEC00000 - FEC00FFF"
"Ubicación de la memoria:","FEC01000 - FEC01FFF"
"Ubicación de la memoria:","FEDC0000"
"Ubicación de la memoria:","FEE00000"
"Ubicación de la memoria:","FED80000 - FED8FFFF"
"Ubicación de la memoria:","FEC10000 - FEC10FFF"
"Ubicación de la memoria:","FF000000"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","LENOVO"
"Versión de BIOS:","M2FKT21A"
"Fecha de lanzamiento del BIOS:","06/18/2020"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","16 MBytes"
"Versión del BIOS del sistema:","1.33"
"Versión del firmware del Embedded Controller:","0.14"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","Presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","LENOVO"
"Nombre del producto:","11A5S4EB00"
"Version del producto:","ThinkCentre M75q-1"
"Número de serie del producto:","MJ0DT1VL"
"UUID:","{0F79EFB2-3481-11EB-8446-3037CE064E00}"
"SKU Number:","LENOVO_MT_11A5_BU_Think_FM_ThinkCentre M75q-1"
"Family:","ThinkCentre M75q-1"

tarjeta madre

"Fabricante de la placa base:","LENOVO"
"Nombre de la placa base:","3151"
"Versión de la placa base:","SDK0J40697 WIN 3305329848099"
"Número de serie de la placa base:",""
"Asset Tag:","                         "
"Ubicación en el chasis de la:",""

Caja del sistema

"Fabricante:","LENOVO"
"Tipo de caja:","Mini PC"
"Versión:","None"
"Número de serie:","MJ0DT1VL"
"Asset Tag Number:"," "

Dispositivo a bordo

"Descripción del aparato:","Onboard Video"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"
"Descripción del aparato:","Onboard LAN"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"
"Descripción del aparato:","Onboard Audio"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"
"Descripción del aparato:","Onboard SATA"
"Tipo de dispositivo:","SATA Controller"
"Estado del dispositivo:","Activado"

Cadenas de texto OEM

















Opciones de configuración del sistema



Hardware Security

"Power-on Password:","Deshabilitado"
"Keyboard Password:","Activado"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Not implemented"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo de gestión

"Descripción del aparato:","LM78-1"
"Tipo de dispositivo:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Probeta de temperatura

"Descripción:","CPU TEMPERATURE"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Unknown"
"Descripción:","CPU FAN"
"Status:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de gestión

"Descripción del aparato:","LM78-2"
"Tipo de dispositivo:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Probeta de temperatura

"Descripción:","SYSTEM TEMPERATURE"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


TPM

"Versión de la especificación TPM:","2.0"
"Proveedor de TPM:",""
"Descripción de TPM:","NUVOTON"

L1 - Cache

"Designación de enchufe:","L1 - Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Pipeline Burst"
"Tipo de SRAM actual:","Pipeline Burst"
"Velocidad de caché:","1 ns"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","384 KBytes"
"Tamaño de caché instalado:","Multi-bit ECC"
"Asociatividad de caché:","8-way Set-Associative"

L2 - Cache

"Designación de enchufe:","L2 - Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Pipeline Burst"
"Tipo de SRAM actual:","Pipeline Burst"
"Velocidad de caché:","1 ns"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","2048 KBytes"
"Tamaño de caché instalado:","Multi-bit ECC"
"Asociatividad de caché:","8-way Set-Associative"

L3 - Cache

"Designación de enchufe:","L3 - Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Pipeline Burst"
"Tipo de SRAM actual:","Pipeline Burst"
"Velocidad de caché:","1 ns"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","4096 KBytes"
"Tamaño de caché instalado:","Multi-bit ECC"
"Asociatividad de caché:","16-way Set-Associative"

Procesador

"Fabricante del procesador:","Advanced Micro Devices, Inc."
"Processor Version:","AMD Ryzen 5 PRO 3400GE w/ Radeon Vega Graphics "
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","4000 MHz"
"Frecuencia actual:","3300 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.4 V"
"Actualización del procesador:","Socket AM4"
"Designación de enchufe:","AM4"

Dispositivo a bordo

"Descripción del aparato:","Broadcom 5762"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Deshabilitado"

NIC


System Event Log


Idioma del BIOS




Dispositivos de memoria


32-bit Memory Error Information


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","32 GBytes"
"Dispositivos de memoria:","2"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","00BFFFFF"
"Ancho de partición:","2"

32-bit Memory Error Information


Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","DIMM 0"
"Bank Locator:","P0 CHANNEL A"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","2400 MHz"
"Fabricante:","Micron Technology"
"Número de serie:","130ECC8C"
"Número de parte:","8ATF1G64HZ-2G3B1    "
"Asset Tag:",""

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","00BFFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Desconocido"
"Interleave Data Depth:","Desconocido"

32-bit Memory Error Information


Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","DIMM 1"
"Bank Locator:","P0 CHANNEL B"
"Tipo de dispositivo:","DDR4"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","2667 MHz"
"Fabricante:","Ramaxel Technology"
"Número de serie:","12E803EC"
"Número de parte:","RMSA3270ME86H9F-2666"
"Asset Tag:",""

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Desconocido"
"Interleave Data Depth:","Desconocido"

Conectores de puerto


USB

"Tipo de puerto:","USB"
"Referencia interna:","J1500"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB 3.0"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J1501"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB 3.0"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J1502"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB-C"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J1503"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB 3.0"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J1504"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB 3.1"
"Tipo de conector externo:","Access Bus (USB)"

Network Port

"Tipo de puerto:","Network Port"
"Referencia interna:","J1503"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Network"
"Tipo de conector externo:","RJ-45"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1704"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","Sata Express"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1705"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","Sata Express"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1701"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","iSATA"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1702"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","iSATA"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1703"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","iSATA"
"Tipo de conector externo:","Ninguna"

SATA

"Tipo de puerto:","SATA"
"Referencia interna:","J1706"
"Tipo de conector interno:","SAS/SATA Plug Receptacle"
"Referencia externa:","iSATA"
"Tipo de conector externo:","Ninguna"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J1100"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","HDMI"
"Tipo de conector externo:","Ninguna"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J1101"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","HDMI"
